2018-12-11T07:04:55.584+0000 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27018 dbpath=/data/db 64-bit host=dc86aa413f4d
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten] db version v4.0.4
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten] git version: f288a3bdf201007f3693c58e140056adf8b04839
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten] modules: none
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten] build environment:
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten]     distarch: x86_64
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2018-12-11T07:04:55.598+0000 I CONTROL  [initandlisten] options: { config: "/data/db/mongod.conf", net: { bindIpAll: true }, replication: { replSetName: "rs_shardsvr1" }, security: { authorization: "enabled", keyFile: "/data/db/key.file" }, sharding: { clusterRole: "shardsvr" }, storage: { dbPath: "/data/db", wiredTiger: { engineConfig: { cacheSizeGB: 0.25 } } }, systemLog: { destination: "file", logAppend: true, path: "/data/db/log/shards.log" } }
2018-12-11T07:04:55.616+0000 I STORAGE  [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2018-12-11T07:04:55.616+0000 I STORAGE  [initandlisten] 
2018-12-11T07:04:55.616+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
2018-12-11T07:04:55.616+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
2018-12-11T07:04:55.616+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-12-11T07:04:56.705+0000 I STORAGE  [initandlisten] WiredTiger message [1544511896:705407][1:0x7f2e070b0a40], txn-recover: Main recovery loop: starting at 44/19056000 to 45/256
2018-12-11T07:04:56.705+0000 I STORAGE  [initandlisten] WiredTiger message [1544511896:705741][1:0x7f2e070b0a40], txn-recover: Recovering log 44 through 45
2018-12-11T07:04:56.830+0000 I STORAGE  [initandlisten] WiredTiger message [1544511896:830200][1:0x7f2e070b0a40], txn-recover: Recovering log 45 through 45
2018-12-11T07:04:56.876+0000 I STORAGE  [initandlisten] WiredTiger message [1544511896:876448][1:0x7f2e070b0a40], txn-recover: Set global recovery timestamp: 5c0f5e3b00000001
