2018-12-11T07:04:56.416+0000 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27018 dbpath=/data/db 64-bit host=4fc82c033b37
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten] db version v4.0.4
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten] git version: f288a3bdf201007f3693c58e140056adf8b04839
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten] modules: none
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten] build environment:
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten]     distarch: x86_64
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2018-12-11T07:04:56.430+0000 I CONTROL  [initandlisten] options: { config: "/data/db/mongod.conf", net: { bindIpAll: true }, replication: { replSetName: "rs_shardsvr1" }, security: { authorization: "enabled", keyFile: "/data/db/key.file" }, sharding: { clusterRole: "shardsvr" }, storage: { dbPath: "/data/db", wiredTiger: { engineConfig: { cacheSizeGB: 0.25 } } }, systemLog: { destination: "file", logAppend: true, path: "/data/db/log/shards.log" } }
2018-12-11T07:04:56.488+0000 I STORAGE  [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2018-12-11T07:04:56.488+0000 I STORAGE  [initandlisten] 
2018-12-11T07:04:56.488+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
2018-12-11T07:04:56.488+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
2018-12-11T07:04:56.488+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-12-11T07:04:57.448+0000 I STORAGE  [initandlisten] WiredTiger message [1544511897:448268][1:0x7f6e98422a40], txn-recover: Main recovery loop: starting at 44/28184832 to 45/256
2018-12-11T07:04:57.448+0000 I STORAGE  [initandlisten] WiredTiger message [1544511897:448600][1:0x7f6e98422a40], txn-recover: Recovering log 44 through 45
2018-12-11T07:04:57.550+0000 I STORAGE  [initandlisten] WiredTiger message [1544511897:550200][1:0x7f6e98422a40], txn-recover: Recovering log 45 through 45
2018-12-11T07:04:57.612+0000 I STORAGE  [initandlisten] WiredTiger message [1544511897:612256][1:0x7f6e98422a40], txn-recover: Set global recovery timestamp: 5c0f5e3b00000001
2018-12-11T07:04:58.201+0000 I RECOVERY [initandlisten] WiredTiger recoveryTimestamp. Ts: Timestamp(1544511035, 1)
2018-12-11T07:04:58.201+0000 I STORAGE  [initandlisten] Triggering the first stable checkpoint. Initial Data: Timestamp(1544511035, 1) PrevStable: Timestamp(0, 0) CurrStable: Timestamp(1544511035, 1)
2018-12-11T07:04:58.685+0000 I STORAGE  [initandlisten] Starting OplogTruncaterThread local.oplog.rs
2018-12-11T07:04:58.685+0000 I STORAGE  [initandlisten] The size storer reports that the oplog contains 138726 records totaling to 15262122 bytes
2018-12-11T07:04:58.729+0000 I STORAGE  [initandlisten] Sampling from the oplog between Nov 15 07:13:55:1 and Dec 11 06:50:35:1 to determine where to place markers for truncation
2018-12-11T07:04:58.729+0000 I STORAGE  [initandlisten] Taking 0 samples and assuming that each section of oplog contains approximately 2857266 records totaling to 314345849 bytes
2018-12-11T07:04:59.029+0000 I CONTROL  [initandlisten] 
2018-12-11T07:04:59.029+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
2018-12-11T07:04:59.029+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2018-12-11T07:04:59.030+0000 I CONTROL  [initandlisten] 
2018-12-11T07:04:59.030+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/defrag is 'always'.
2018-12-11T07:04:59.030+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2018-12-11T07:04:59.030+0000 I CONTROL  [initandlisten] 
2018-12-11T07:04:59.206+0000 I SHARDING [initandlisten] initializing sharding state with: { shardName: "rs_shardsvr1", clusterId: ObjectId('5bed1c2757c9109d29c10394'), configsvrConnectionString: "rs_configsvr/172.17.0.3:27019,172.17.0.4:27019,172.17.0.5:27019" }
2018-12-11T07:04:59.207+0000 I NETWORK  [initandlisten] Starting new replica set monitor for rs_configsvr/172.17.0.3:27019,172.17.0.4:27019,172.17.0.5:27019
2018-12-11T07:04:59.207+0000 I SHARDING [initandlisten] Finished initializing sharding components for secondary node.
2018-12-11T07:04:59.207+0000 I SHARDING [thread1] creating distributed lock ping thread for process 4fc82c033b37:27018:1544511899:-6895895970872722364 (sleeping for 30000ms)
2018-12-11T07:04:59.227+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to 172.17.0.5:27019 (1 connections now open to 172.17.0.5:27019 with a 5 second timeout)
2018-12-11T07:04:59.227+0000 I NETWORK  [shard registry reload] Successfully connected to 172.17.0.3:27019 (1 connections now open to 172.17.0.3:27019 with a 5 second timeout)
2018-12-11T07:04:59.227+0000 I NETWORK  [initandlisten] Successfully connected to 172.17.0.4:27019 (1 connections now open to 172.17.0.4:27019 with a 5 second timeout)
2018-12-11T07:04:59.227+0000 W NETWORK  [initandlisten] Unable to reach primary for set rs_configsvr
2018-12-11T07:04:59.228+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.5:27019
2018-12-11T07:04:59.228+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.4:27019
2018-12-11T07:04:59.228+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.4:27019
2018-12-11T07:04:59.729+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:00.230+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:00.730+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:01.231+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:01.732+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:02.233+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:02.733+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-11T07:05:03.234+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
